species,name,c3.c4,crop.wild,tissue,fol.ed,study.type,ea.co2,eco2,aco2,plus.co2,add.info,lat,long,region,country,reference,n,element,delta,log.r
Acer pseudoplatanus,maple tree,C3,WLD,above ground,F,glasshouse,650/390,650,390,260, ,,,,,Overdieck 1993,4,Ca,-0.1111,-0.1178
Acer pseudoplatanus,maple tree,C3,WLD,above ground,F,glasshouse,650/390,650,390,260, ,,,,,Overdieck 1993,4,Fe,-0.0661,-0.0684
Acer pseudoplatanus,maple tree,C3,WLD,above ground,F,glasshouse,650/390,650,390,260, ,,,,,Overdieck 1993,4,K,-0.0968,-0.1018
Acer pseudoplatanus,maple tree,C3,WLD,above ground,F,glasshouse,650/390,650,390,260, ,,,,,Overdieck 1993,4,Mg,-0.0909,-0.0953
Acer pseudoplatanus,maple tree,C3,WLD,above ground,F,glasshouse,650/390,650,390,260, ,,,,,Overdieck 1993,4,Mn,-0.2025,-0.2263
Acer pseudoplatanus,maple tree,C3,WLD,above ground,F,glasshouse,650/390,650,390,260, ,,,,,Overdieck 1993,4,N,-0.1719,-0.1886
Acer pseudoplatanus,maple tree,C3,WLD,above ground,F,glasshouse,650/390,650,390,260, ,,,,,Overdieck 1993,4,P,-0.0667,-0.069
Acer rubrum ,red maple tree,C3,WLD,foliar,F,FACE,plus 200/amb,560,360,200,1998,35.97,-79.03,North Carolina,USA,Finzi et al 2001,3,C,0.0022,0.0022
Acer rubrum ,red maple tree,C3,WLD,foliar,F,FACE,plus 200/amb,560,360,200,1998,35.97,-79.03,North Carolina,USA,Finzi et al 2001,3,N,-0.0253,-0.0256
Acer rubrum ,red maple tree,C3,WLD,foliar,F,FACE,plus 200/amb,560,360,200,1998,35.97,-79.03,North Carolina,USA,Finzi et al 2001,3,P,0.0583,0.0567
Agrostis capillaris,grass,C3,WLD,foliar,F,OTC,680/340,680,340,340, ,54.13,-2.67,Wales,UK,Baxter et al 1994,4,Ca,0.0721,0.0696
Agrostis capillaris,grass,C3,WLD,foliar,F,OTC,680/340,680,340,340, ,54.13,-2.67,Wales,UK,Baxter et al 1994,4,K,-0.1597,-0.174
Agrostis capillaris,grass,C3,WLD,foliar,F,OTC,680/340,680,340,340, ,54.13,-2.67,Wales,UK,Baxter et al 1994,4,Mg,-0.2741,-0.3203
Agrostis capillaris,grass,C3,WLD,foliar,F,OTC,680/340,680,340,340, ,54.13,-2.67,Wales,UK,Baxter et al 1994,4,N,-0.1297,-0.1389
Agrostis capillaris,grass,C3,WLD,foliar,F,OTC,680/340,680,340,340, ,54.13,-2.67,Wales,UK,Baxter et al 1994,4,P,0.0872,0.0836
Agrostis capillaris,grass,C3,WLD,above ground,F,chamber,610/360,610,360,250,avg of 10 treatments,,,,,Newbery 1995,30,C,0.0146,0.0145
Agrostis capillaris,grass,C3,WLD,above ground,F,chamber,610/360,610,360,250,avg of 10 treatments,,,,,Newbery 1995,30,K,-0.3903,-0.4948
Agrostis capillaris,grass,C3,WLD,above ground,F,chamber,610/360,610,360,250,avg of 10 treatments,,,,,Newbery 1995,30,N,-0.0927,-0.0973
Agrostis capillaris,grass,C3,WLD,above ground,F,chamber,610/360,610,360,250,avg of 10 treatments,,,,,Newbery 1995,30,P,-0.1391,-0.1498
Alnus glutinosa ,alder tree,C3,WLD,foliar,F,OTC,700/350,700,350,350,the last (Aug 1996) sampling,56.2,-3.6,Perthshire,UK,Temperton et al 2003,4,N,-0.0345,-0.0351
Alnus glutinosa ,alder tree,C3,WLD,foliar,F,OTC,700/350,700,350,350,the last (Aug 1996) sampling,56.2,-3.6,Perthshire,UK,Temperton et al 2003,4,P,-0.0455,-0.0466
Alphitonia petriei,rainforest tree,C3,WLD,seedlings,F,chamber,790/350,790,350,440,Basalt,,,,,Kanowski 2001,5,Ca,-0.0304,-0.0309
Alphitonia petriei,rainforest tree,C3,WLD,seedlings,F,chamber,790/350,790,350,440,Rhyolite,,,,,Kanowski 2001,5,Ca,-0.0141,-0.0142
Alphitonia petriei,rainforest tree,C3,WLD,seedlings,F,chamber,790/350,790,350,440,Basalt,,,,,Kanowski 2001,5,K,-0.0236,-0.0239
Alphitonia petriei,rainforest tree,C3,WLD,seedlings,F,chamber,790/350,790,350,440,Rhyolite,,,,,Kanowski 2001,5,K,0.0144,0.0143
Alphitonia petriei,rainforest tree,C3,WLD,seedlings,F,chamber,790/350,790,350,440,Basalt,,,,,Kanowski 2001,5,N,-0.2624,-0.3044
Alphitonia petriei,rainforest tree,C3,WLD,seedlings,F,chamber,790/350,790,350,440,Rhyolite,,,,,Kanowski 2001,5,N,-0.2348,-0.2676
Alphitonia petriei,rainforest tree,C3,WLD,seedlings,F,chamber,790/350,790,350,440,Basalt,,,,,Kanowski 2001,5,Na,-0.491,-0.6753
Alphitonia petriei,rainforest tree,C3,WLD,seedlings,F,chamber,790/350,790,350,440,Rhyolite,,,,,Kanowski 2001,5,Na,-0.3834,-0.4835
Alphitonia petriei,rainforest tree,C3,WLD,seedlings,F,chamber,790/350,790,350,440,Basalt,,,,,Kanowski 2001,5,P,0.0346,0.034
Alphitonia petriei,rainforest tree,C3,WLD,seedlings,F,chamber,790/350,790,350,440,Rhyolite,,,,,Kanowski 2001,5,P,-0.0923,-0.0968
Ambrosia dumosa,shrub,C3,WLD,foliar,F,FACE,550/370,550,370,180,avg of rainfalls,36.65,-112.92,Nevada,USA,Housman et al 2012,9,Mn,-0.23,-0.2613
Ambrosia dumosa,shrub,C3,WLD,foliar,F,FACE,550/370,550,370,180,avg of rainfalls,36.65,-112.92,Nevada,USA,Housman et al 2012,9,N,-0.1019,-0.1075
Ambrosia dumosa,shrub,C3,WLD,foliar,F,FACE,550/370,550,370,180,avg of rainfalls,36.65,-112.92,Nevada,USA,Housman et al 2012,9,P,-0.1177,-0.1252
Ambrosia dumosa,shrub,C3,WLD,foliar,F,FACE,550/370,550,370,180,avg of rainfalls,36.65,-112.92,Nevada,USA,Housman et al 2012,9,Zn,0.6235,0.4846
Apium graveolens,celery,C3,CRP,shoots,F,glasshouse,1000/330,1000,330,670, ,,,,,Tremblay et al 1988,10,B,-0.039,-0.0398
Apium graveolens,celery,C3,CRP,shoots,F,glasshouse,1000/330,1000,330,670, ,,,,,Tremblay et al 1988,10,Ca,-0.023,-0.0233
Apium graveolens,celery,C3,CRP,shoots,F,glasshouse,1000/330,1000,330,670, ,,,,,Tremblay et al 1988,10,K,-0.085,-0.0888
Apium graveolens,celery,C3,CRP,shoots,F,glasshouse,1000/330,1000,330,670, ,,,,,Tremblay et al 1988,10,Mg,-0.1,-0.1054
Apium graveolens,celery,C3,CRP,shoots,F,glasshouse,1000/330,1000,330,670, ,,,,,Tremblay et al 1988,10,N,-0.0909,-0.0953
Apium graveolens,celery,C3,CRP,shoots,F,glasshouse,1000/330,1000,330,670, ,,,,,Tremblay et al 1988,10,P,-0.058,-0.0598
Arabidopsis thaliana,thale cress,C3,WLD,shoots,F,chamber,800/350,800,350,450,NH4,,,,,Niu et al 2013,5,P,-0.265,-0.3079
Arabidopsis thaliana,thale cress,C3,WLD,shoots,F,chamber,800/350,800,350,450,NO3,,,,,Niu et al 2013,5,P,0.314,0.2731
Arabidopsis thaliana,thale cress,C3,WLD,foliar,F,chamber,700/370,700,370,330, ,,,,,Teng et al 2006,5,C,0.107,0.1017
Arabidopsis thaliana,thale cress,C3,WLD,foliar,F,chamber,700/370,700,370,330, ,,,,,Teng et al 2006,5,Ca,-0.192,-0.2132
Arabidopsis thaliana,thale cress,C3,WLD,foliar,F,chamber,700/370,700,370,330, ,,,,,Teng et al 2006,5,K,-0.207,-0.2319
Arabidopsis thaliana,thale cress,C3,WLD,foliar,F,chamber,700/370,700,370,330, ,,,,,Teng et al 2006,5,Mg,-0.148,-0.1602
Arabidopsis thaliana,thale cress,C3,WLD,foliar,F,chamber,700/370,700,370,330, ,,,,,Teng et al 2006,5,N,-0.112,-0.1188
Arabidopsis thaliana,thale cress,C3,WLD,foliar,F,chamber,700/370,700,370,330, ,,,,,Teng et al 2006,5,P,-0.179,-0.1972
Betula pendula 'Roth',birch tree,C3,WLD,foliar,F,OTC,720/371,720,371,349,2 clones,62.65,27.05,Suonenjoki,Finland,Oksanen et al 2005,8,B,-0.012,-0.0121
Betula pendula 'Roth',birch tree,C3,WLD,foliar,F,OTC,720/371,720,371,349,2 clones,62.65,27.05,Suonenjoki,Finland,Oksanen et al 2005,8,Ca,-0.1217,-0.1298
Betula pendula 'Roth',birch tree,C3,WLD,foliar,F,OTC,720/371,720,371,349,2 clones,62.65,27.05,Suonenjoki,Finland,Oksanen et al 2005,8,Cu,-0.179,-0.1972
Betula pendula 'Roth',birch tree,C3,WLD,foliar,F,OTC,720/371,720,371,349,2 clones,62.65,27.05,Suonenjoki,Finland,Oksanen et al 2005,8,K,-0.1354,-0.1455
Betula pendula 'Roth',birch tree,C3,WLD,foliar,F,OTC,720/371,720,371,349,2 clones,62.65,27.05,Suonenjoki,Finland,Oksanen et al 2005,8,Mg,-0.0881,-0.0922
Betula pendula 'Roth',birch tree,C3,WLD,foliar,F,OTC,720/371,720,371,349,2 clones,62.65,27.05,Suonenjoki,Finland,Oksanen et al 2005,8,Mn,0.0246,0.0243
Betula pendula 'Roth',birch tree,C3,WLD,foliar,F,OTC,720/371,720,371,349,2 clones,62.65,27.05,Suonenjoki,Finland,Oksanen et al 2005,8,N,-0.1498,-0.1622
Betula pendula 'Roth',birch tree,C3,WLD,foliar,F,OTC,720/371,720,371,349,2 clones,62.65,27.05,Suonenjoki,Finland,Oksanen et al 2005,8,P,-0.037,-0.0377
Betula pendula 'Roth',birch tree,C3,WLD,foliar,F,OTC,720/371,720,371,349,2 clones,62.65,27.05,Suonenjoki,Finland,Oksanen et al 2005,8,S,-0.1761,-0.1937
Betula pendula 'Roth',birch tree,C3,WLD,foliar,F,OTC,720/371,720,371,349,2 clones,62.65,27.05,Suonenjoki,Finland,Oksanen et al 2005,8,Zn,-0.1575,-0.1714
Brassica juncea 'Czern',mustard,C3,CRP,seed,E,OTC,860/360,890,390,500,20010-11,28.67,77.2,New Delhi,India,Singh et al 2013,3,Ca,-0.0488,-0.05
Brassica juncea 'Czern',mustard,C3,CRP,seed,E,OTC,860/360,890,390,500,2009-10,28.67,77.2,New Delhi,India,Singh et al 2013,3,Ca,-0.122,-0.1301
Brassica juncea 'Czern',mustard,C3,CRP,seed,E,OTC,860/360,890,390,500,20010-11,28.67,77.2,New Delhi,India,Singh et al 2013,3,Fe,-0.0766,-0.0797
Brassica juncea 'Czern',mustard,C3,CRP,seed,E,OTC,860/360,890,390,500,2009-10,28.67,77.2,New Delhi,India,Singh et al 2013,3,Fe,-0.0768,-0.0799
Brassica juncea 'Czern',mustard,C3,CRP,seed,E,OTC,860/360,890,390,500,20010-11,28.67,77.2,New Delhi,India,Singh et al 2013,3,Mg,-0.0857,-0.0896
Brassica juncea 'Czern',mustard,C3,CRP,seed,E,OTC,860/360,890,390,500,2009-10,28.67,77.2,New Delhi,India,Singh et al 2013,3,Mg,-0.0606,-0.0625
Brassica juncea 'Czern',mustard,C3,CRP,seed,E,OTC,860/360,890,390,500,20010-11,28.67,77.2,New Delhi,India,Singh et al 2013,3,S,-0.0851,-0.0889
